date	open	high	low	close	volume	
1526040000000	1.19349	1.19682	1.19318	1.19513	15515	
1526054400000	1.19514	1.19596	1.19353	1.19445	5790	
1526068800000	1.1945	1.19456	1.19379	1.1941	752	
1526241600000	1.19436	1.1956	1.19396	1.19528	2078	
1526256000000	1.19525	1.1969	1.19512	1.19648	3816	
1526270400000	1.19648	1.19842	1.19514	1.19786	8631	
1526284800000	1.19788	1.19902	1.19685	1.19842	8646	
1526299200000	1.19844	1.19964	1.1962	1.1975	9806	
1526313600000	1.19754	1.19776	1.19348	1.19384	6701	
1526328000000	1.19384	1.194	1.19228	1.1931	2685	
1526342400000	1.1931	1.19387	1.19283	1.19332	2633	
1526356800000	1.19334	1.19374	1.19105	1.19232	8809	
1526371200000	1.19228	1.19296	1.18765	1.18784	9931	
1526385600000	1.18783	1.18916	1.18202	1.18636	22236	
1526400000000	1.18641	1.18756	1.18364	1.18423	14193	
1526414400000	1.18418	1.18474	1.1817	1.18206	6517	
1526428800000	1.18213	1.18347	1.18161	1.18335	7265	
1526443200000	1.18336	1.18542	1.18243	1.18475	11524	
1526457600000	1.18476	1.18523	1.17668	1.1787	17390	
1526472000000	1.17872	1.18198	1.17632	1.1787	20749	
1526486400000	1.17874	1.18196	1.17812	1.1803	8578	
1526500800000	1.18028	1.182	1.18015	1.18146	4196	
1526515200000	1.18142	1.18376	1.18068	1.18281	6288	
1526529600000	1.18278	1.18356	1.17924	1.18222	15437	
1526544000000	1.18226	1.1825	1.17763	1.17902	12122	
1526558400000	1.17902	1.18114	1.17845	1.1797	16718	
1526572800000	1.17966	1.18089	1.17928	1.17952	6762	
1526587200000	1.1795	1.17992	1.179	1.17904	3145	
1526601600000	1.17899	1.18082	1.17891	1.18034	4089	
1526616000000	1.18038	1.18222	1.18006	1.18133	6774	
1526630400000	1.18133	1.18146	1.17728	1.17845	10090	
1526644800000	1.1785	1.17854	1.17499	1.17756	16631	
1526659200000	1.17753	1.17888	1.17654	1.1768	4918	
1526673600000	1.17678	1.17719	1.17644	1.17694	1390	
1526846400000	1.17728	1.17768	1.17603	1.17657	2180	
1526860800000	1.17656	1.17682	1.1744	1.1752	6564	
1526875200000	1.17516	1.17538	1.17209	1.17257	6845	
1526889600000	1.17262	1.17628	1.17164	1.17615	8425	
1526904000000	1.17612	1.17798	1.1743	1.17686	11935	
1526918400000	1.17682	1.17886	1.17646	1.17865	5559	
1526932800000	1.17864	1.17974	1.17846	1.179	2365	
1526947200000	1.17896	1.17972	1.1779	1.17818	4859	
1526961600000	1.1782	1.18194	1.17566	1.18177	10963	
1526976000000	1.1818	1.18301	1.18038	1.18091	11578	
1526990400000	1.18096	1.18121	1.17687	1.17842	16757	
1527004800000	1.17837	1.1788	1.17708	1.17818	5708	
1527019200000	1.17818	1.17897	1.17758	1.17882	2492	
1527033600000	1.17876	1.17891	1.17501	1.17626	8049	
1527048000000	1.17626	1.17686	1.1702	1.17115	16772	
1527062400000	1.17112	1.1748	1.16922	1.17002	18511	
1527076800000	1.17005	1.17196	1.16847	1.16924	19762	
1527091200000	1.16927	1.17103	1.16756	1.17038	15106	
1527105600000	1.1704	1.17137	1.16942	1.17091	6917	
1527120000000	1.17086	1.17129	1.16905	1.17036	9657	
1527134400000	1.17038	1.17332	1.16932	1.17222	14705	
1527148800000	1.17222	1.17464	1.17056	1.17136	11976	
1527163200000	1.17138	1.17506	1.17133	1.17289	17894	
1527177600000	1.17284	1.17442	1.17214	1.17244	5755	
1527192000000	1.17242	1.17262	1.17179	1.1722	3336	
1527206400000	1.1722	1.17263	1.17052	1.17095	6272	
1527220800000	1.17096	1.17114	1.16846	1.16898	9369	
1527235200000	1.16896	1.17339	1.16622	1.16684	17364	
1527249600000	1.16687	1.16869	1.16464	1.16656	19689	
1527264000000	1.16653	1.16759	1.1655	1.1661	7275	
1527278400000	1.16614	1.16625	1.16453	1.1649	1711	
1527451200000	1.16868	1.16924	1.16769	1.16884	5367	
